,Fecha Inicio Semestre,Etiqueta,Total de Víctimas,KPI
0,2016-01-01,"Año 2016, Semestre 1",67,2.2333333333333334
1,2016-07-01,"Año 2016, Semestre 2",83,2.7666666666666666
2,2017-01-01,"Año 2017, Semestre 1",81,2.6999999999999997
3,2017-07-01,"Año 2017, Semestre 2",79,2.6333333333333333
4,2018-01-01,"Año 2018, Semestre 1",76,2.533333333333333
5,2018-07-01,"Año 2018, Semestre 2",85,2.833333333333333
6,2019-01-01,"Año 2019, Semestre 1",59,1.9666666666666666
7,2019-07-01,"Año 2019, Semestre 2",47,1.5666666666666667
8,2020-01-01,"Año 2020, Semestre 1",31,1.0333333333333332
9,2020-07-01,"Año 2020, Semestre 2",56,1.8666666666666665
10,2021-01-01,"Año 2021, Semestre 1",55,1.8333333333333333
11,2021-07-01,"Año 2021, Semestre 2",42,1.4
