,id,n_victimas,anio,mes,dia,fecha,hora,franja_hora,comuna,tipo_calle,cruce,geocodificacion_CABA,longitud,latitud,victima,acusado,gravedad,vehiculo,sexo,edad,dia_noche
11792,LC-2020-0002346,1,2020,January,2,,,13,2,AVENIDA,si,Point (106797.883397132 104615.00964936),-58.389203129482,-34.587646270159,CICLISTA,AUTO,leve,CICLISTA,varon,61-70,Noche
11793,LC-2020-0003142,1,2020,January,2,,,16,3,CALLE,no,Point (105393.859084365 102333.999776285),-58.404492539573,-34.608216527535,CICLISTA,AUTO,leve,CICLISTA,varon,31-40,Noche
11795,LC-2020-0004057,1,2020,January,3,,,3,15,CALLE,si,Point (101609.477757533 103183.144235567),-58.445753737126,-34.600574687554,CICLISTA,AUTO,leve,CICLISTA,varon,21-30,Noche
11798,LC-2020-0005389,1,2020,January,3,,,13,14,AVENIDA,no,Point (105012.522254721 105185.455369613),-58.408666752182,-34.582514184732,MOTO,CICLISTA,leve,MOTO,varon,21-30,Noche
11799,LC-2020-0006408,1,2020,January,3,,,21,15,CALLE,si,Point (98536.5406498828 105187.697470956),-58.479250131233,-34.582504811925,CICLISTA,MOVIL,leve,CICLISTA,varon,31-40,Noche
11801,LC-2020-0007386,1,2020,January,4,,,15,9,CALLE,no,Point (95333.7651975928 98065.5413468762),-58.514197623621,-34.646697085725,PEATON,CICLISTA,leve,PEATON,mujer,71-80,Noche
11802,LC-2020-0009145,1,2020,January,5,,,21,2,AVENIDA,si,Point (105547.605528476 103708.62443504),-58.402825196249,-34.595824269206,CICLISTA,AUTO,leve,CICLISTA,varon,31-40,Noche
11803,LC-2020-0009835,1,2020,January,6,,,10,1,CALLE,si,Point (106869.21740116 100478.065377604),-58.388392381074,-34.624937924803,CICLISTA,CAMIONETA,leve,CICLISTA,varon,21-30,Noche
11806,LC-2020-0014353,1,2020,January,7,,,17,2,CALLE,si,Point (105584.569535095 104246.042090377),-58.402425751072,-34.590979554343,CICLISTA,AUTO,leve,CICLISTA,mujer,31-40,Noche
11809,LC-2020-0016458,1,2020,January,8,,,15,9,CALLE,si,Point (94622.1001284961 97982.9634914525),-58.521960742033,-34.647437946729,CICLISTA,CAMIONETA,leve,CICLISTA,mujer,71-80,Noche
11810,LC-2020-0016725,1,2020,January,8,,,17,15,CALLE,no,Point (101828.8960264 103062.116603747),-58.443361470828,-34.601665326781,CICLISTA,CAMIONETA,leve,CICLISTA,varon,21-30,Noche
11813,LC-2020-0019258,1,2020,January,9,,,16,15,AVENIDA,si,Point (100272.313364866 104833.497107453),-58.460331410971,-34.585698833823,CICLISTA,AUTO,leve,CICLISTA,varon,41-50,Noche
11815,LC-2020-0020243,1,2020,January,10,,,10,14,AVENIDA,si,Point (103874.909307791 103893.719637555),-58.421060074882,-34.594163324938,CICLISTA,AUTO,leve,CICLISTA,varon,21-30,Noche
11816,LC-2020-0020892,1,2020,January,10,,,12,11,AVENIDA,no,Point (98367.1047859378 101900.227816018),-58.481103390744,-34.612139224711,CICLISTA,AUTO,leve,CICLISTA,varon,41-50,Noche
11817,LC-2020-0021470,1,2020,January,10,,,10,1,CALLE,si,Point (107758.653044419 101054.971570339),-58.378698512840,-34.619731174875,CICLISTA,CAMIONETA,leve,CICLISTA,varon,51-60,Noche
11818,LC-2020-0021828,1,2020,January,10,,,19,15,AVENIDA,no,Point (99195.0870724338 105487.765878279),-58.472072162249,-34.579800620133,CICLISTA,MOTO,leve,CICLISTA,mujer,21-30,Noche
11820,LC-2020-0021928,1,2020,January,10,,,18,14,CALLE,no,Point (103798.540116068 103557.922692032),-58.421891077932,-34.597190625659,CICLISTA,AUTO,leve,CICLISTA,varon,21-30,Noche
11821,LC-2020-0022552,1,2020,January,11,,,8,8,AVENIDA,si,Point (101222.864634897 96044.3439411509),-58.449958608829,-34.664927069505,CICLISTA,AUTO,leve,CICLISTA,varon,31-40,Noche
11822,LC-2020-0023539,1,2020,January,11,,,21,9,AVENIDA,si,Point (95662.7765194608 97729.8348371465),-58.510610625883,-34.649724726312,CICLISTA,AUTO,leve,CICLISTA,varon,31-40,Noche
